PG.ProteinAccessions,PG.ProteinNames,GAERS_602_SCx,GAERS_601_SCx,GAERS_625_SCx,GAERS_614_SCx,GAERS_628_SCx,GAERS_590_SCx,NEC_601_SCx,NEC_687_SCx,NEC602_SCx,NEC_603_SCx,NEC_688_SCx,NEC_604_SCx
A0A0G2K0G3;A0A0G2K764,A0A0G2K0G3_RAT,6323.573242,3455.284668,7903.981934,4709.039551,6852.880859,5865.79834,5682.609863,2994.100342,6610.57959,2911.395508,5956.018555,4270.393066
A0A0G2K0I0;F1M0A0,A0A0G2K0I0_RAT,6606.123535,2991.248047,4342.019531,8125.305664,6176.546387,7159.410156,7351.252441,7342.902344,6402.938477,2528.991699,6856.615723,3709.488525
A0A0G2K0I1;D4A6T1;F1M5A4,A0A0G2K0I1_RAT,1787333.625,1934800.25,1747330.625,1524032.625,1760806.875,1840754.625,2030385.375,1780155,1611435.5,1839622.125,1742905.875,1761675.875
A0A0G2K0I3;Q80Z29,A0A0G2K0I3_RAT,73875.75781,70990.375,77424.65625,83664.84375,62785.14063,80340.46094,80408.21094,77837.35938,71239.46875,83790.40625,68095.27344,76290.22656
A0A0G2K0J2,A0A0G2K0J2_RAT,55745.19531,62037.1875,60580.15625,68990.30469,70022.10938,65405.64844,62351.13281,52217.42188,60547.04297,47663.03906,27974.68164,55351.02344
A0A0G2K0J3;A0A0G2K1R9,A0A0G2K0J3_RAT,26720.10742,24636.66992,27956.69141,24152.55469,25515.4707,23957.43359,21910.08398,22472.625,21394.36719,25694.35156,19343.26563,30660.54883
A0A0G2K0J9;A0A0G2K5D4;P63079;Q5XPT5,A0A0G2K0J9_RAT,164166.0156,157409.8906,154238.1875,142392.6406,153656.6719,153935.25,166719.4531,177564.5625,148873.0938,152728.5469,143239.4688,182476.1094
A0A0G2K0K8;A0A0G2KA57;P86410;R9PXV2,A0A0G2K0K8_RAT,74534.85156,89821.13281,85082.32813,68773.84375,73820.1875,79644.16406,82314.10156,71976.29688,79479.88281,85121.27344,72558.46094,82370.14063
A0A0G2K0L0;B2RYI8,A0A0G2K0L0_RAT,26778.93945,21825.58984,20713.57617,20997.31641,39829.39844,23851.79102,20976.78906,20237.69141,17985.24219,24617.12305,19406.5293,20588.79688
A0A0G2K0M8,A0A0G2K0M8_RAT,113116.5547,157739.2656,124954.625,114291.3359,150019.4219,115552.4766,178322.3906,132588.7344,114019.6953,125265.0469,136328.9219,173492.5938
A0A0G2K0P0;Q5U306,A0A0G2K0P0_RAT,4879.457031,2666.200439,5194.894043,3633.634766,16973.58203,7537.756348,14059.73633,5951.837891,8567.036133,3404.049316,22964.39063,8689.686523
A0A0G2K0P1;D3ZWA5,A0A0G2K0P1_RAT,36006.19922,26952.64063,32802.25781,31493.27148,28708.00195,28083.91602,36640.79297,34862.8125,31767.71289,40298.81641,41466.58203,28427.70313
A0A0G2K0P2;O70436,A0A0G2K0P2_RAT,52334.625,19088.44531,45567.16797,54297.56641,63595.01953,47183.64063,25395.76563,53401.28125,14940.6543,54641.66406,59053.17969,64301.64063
A0A0G2K0P5;B5DEP5,A0A0G2K0P5_RAT,18113.12891,20963.43555,20205.39453,20439.25195,21340.35938,25712.37305,24725.38086,23749.57422,20065.23438,20736.625,21257.58594,21751.01563
A0A0G2K0P9,A0A0G2K0P9_RAT,45397.92969,51111.21875,43933.25391,35651.76172,57676.4375,35686.33984,44440.59766,44301.56641,31991.24414,45965.91797,56278.65234,47100.36328
A0A0G2K0Q7;D3ZFU9,A0A0G2K0Q7_RAT,12240.28613,16553.77148,20006.32617,21343.49414,13832.71973,16598.00586,12019.80664,16554.58008,16423.67188,12691.33008,9697.875,15564.07324
A0A0G2K0Q8;D3ZEV8,A0A0G2K0Q8_RAT,21470.87695,20900.54883,15929.04883,14896.94043,19753.38281,27634.3125,25281.91797,33910.30469,36286.17578,32905.21484,32324.79102,32394.50391
A0A0G2K0S1;Q66HR5,A0A0G2K0S1_RAT,21034.54688,18286.69727,24002.86328,24018.43164,19408.36133,20915.08008,14413.56641,28080.51172,23494.59766,21028.49219,17349.79492,22721.48828
